number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
30,0.8482415188297541,2026-02-08 12:41:46.388854,2026-02-08 12:41:46.829193,0 days 00:00:00.440339,0.7497006895577767,0.8695269363244756,0.034131995799367,3,9,325,2.429664314605466e-05,0.00010358183681804321,0.7753335767429433,COMPLETE
31,0.8477517631790663,2026-02-08 12:41:46.855297,2026-02-08 12:41:48.126036,0 days 00:00:01.270739,0.8105456085986468,0.42430700906153085,0.01190728449026712,5,6,250,3.035987629550887e-06,2.082627819913182e-06,0.6582990634246378,COMPLETE
32,0.8478052017452684,2026-02-08 12:41:48.157769,2026-02-08 12:41:48.865905,0 days 00:00:00.708136,0.8290850951430634,0.29677141617761504,0.016718113992993715,5,6,144,3.143988697935845e-07,1.1042488951834784e-08,0.6740799438102282,COMPLETE
33,0.8477682058148206,2026-02-08 12:41:48.887367,2026-02-08 12:41:49.294602,0 days 00:00:00.407235,0.8862309067536122,0.6707476749665364,0.012769385326130594,4,8,203,2.6598941060135786e-08,4.8501385435930296e-08,0.6264220530245302,COMPLETE
34,0.8462161384469932,2026-02-08 12:41:49.316764,2026-02-08 12:41:50.675182,0 days 00:00:01.358418,0.7727494443212108,0.17613427213614163,0.01457133177566536,6,3,277,2.1667353388423863e-07,2.3887487658480624e-07,0.6484560033909507,COMPLETE
35,0.8482579614655086,2026-02-08 12:41:50.705443,2026-02-08 12:41:51.145297,0 days 00:00:00.439854,0.7205975078000784,0.05250231440731373,0.020502095876007504,3,7,229,0.0007058916588300666,6.836128514536132e-07,0.8426437424313261,COMPLETE
36,0.8325012185167568,2026-02-08 12:41:51.166873,2026-02-08 12:41:55.128840,0 days 00:00:03.961967,0.8653816142973003,0.49673547169094345,0.015806380167254844,8,5,898,5.6679997370688985e-08,1.7865706147027143e-05,0.7054239342548828,COMPLETE
37,0.8381751023260458,2026-02-08 12:41:55.151401,2026-02-08 12:41:57.847503,0 days 00:00:02.696102,0.8104553784504117,0.6985747744409736,0.027748039712028688,4,10,793,6.529261489206804e-07,0.0019600778640493253,0.6208147373863921,COMPLETE
38,0.8492439323737881,2026-02-08 12:41:57.870695,2026-02-08 12:41:58.605979,0 days 00:00:00.735284,0.7160019853437346,0.6243607906195967,0.011805507707529061,5,6,371,1.671250097959951e-08,4.290470712315502e-08,0.9328161049573677,COMPLETE
39,0.8389479062065077,2026-02-08 12:41:58.640251,2026-02-08 12:42:00.676655,0 days 00:00:02.036404,0.6787380429312286,0.5695083244986592,0.07251101953958289,3,9,462,1.0185874555252413e-08,3.625430100876341e-06,0.9885177550277376,COMPLETE
40,0.8190799170821369,2026-02-08 12:42:00.699316,2026-02-08 12:42:01.182501,0 days 00:00:00.483185,0.7055265934667293,0.6149204748439507,0.21826579657384348,7,7,368,3.5135208493611775e-08,6.747225139291891e-08,0.9380102739706206,COMPLETE
41,0.8472755139791766,2026-02-08 12:42:01.204208,2026-02-08 12:42:01.858682,0 days 00:00:00.654474,0.7657090621077204,0.5219837762491182,0.011832332312314845,5,6,184,1.2418727512480857e-07,3.630097056196116e-08,0.869898595313962,COMPLETE
42,0.8470934705118944,2026-02-08 12:42:01.886269,2026-02-08 12:42:03.647191,0 days 00:00:01.760922,0.8738113361322077,0.44422457961213013,0.010071952791467957,4,5,264,2.7947986260606497e-08,3.547407827874792e-07,0.9541129690733997,COMPLETE
43,0.8469513591600161,2026-02-08 12:42:03.669022,2026-02-08 12:42:04.526047,0 days 00:00:00.857025,0.6399022140562627,0.7227001067366823,0.01261046457733596,6,4,328,1.7991539360349838e-06,1.269806539695265e-07,0.9119829246501174,COMPLETE
44,0.8481951271074467,2026-02-08 12:42:04.550347,2026-02-08 12:42:06.203178,0 days 00:00:01.652831,0.850010162298047,0.7764513593380029,0.015777419534016728,5,8,386,0.14993679715611338,8.992441800331137e-07,0.6198825435731969,COMPLETE
45,0.842720903875177,2026-02-08 12:42:06.224307,2026-02-08 12:42:07.090414,0 days 00:00:00.866107,0.939192207327956,0.6050629035696369,0.023261722720469752,10,6,219,1.8544491187114076e-08,2.338337590541386e-08,0.6854928292226347,COMPLETE
46,0.8460387928756408,2026-02-08 12:42:07.126194,2026-02-08 12:42:09.639322,0 days 00:00:02.513128,0.735738494289229,0.91814093395846,0.011605178185603004,7,5,151,7.419824924330122e-08,1.0294016780811319e-08,0.839413760100846,COMPLETE
47,0.8444902489297605,2026-02-08 12:42:09.669888,2026-02-08 12:42:10.583816,0 days 00:00:00.913928,0.6777944826796997,0.33473270794074966,0.019165110514884346,4,2,512,0.0013603613438639046,1.9006719828282166e-07,0.6637190271755633,COMPLETE
48,0.8482045228993065,2026-02-08 12:42:10.605561,2026-02-08 12:42:11.305406,0 days 00:00:00.699845,0.7951002740998869,0.8343707283734763,0.01444059124989291,5,8,302,9.569046199358196e-06,7.635028432195335e-06,0.6422835015476357,COMPLETE
49,0.8462936537298357,2026-02-08 12:42:11.330385,2026-02-08 12:42:12.410743,0 days 00:00:01.080358,0.909025056525928,0.5273199832485447,0.029304976860569203,3,6,430,3.7052519710959656e-05,0.024262018444372625,0.680675010203772,COMPLETE
50,0.8498658163475032,2026-02-08 12:42:12.433332,2026-02-08 12:42:13.906238,0 days 00:00:01.472906,0.9905748684682302,0.23720305681327813,0.010104262251365086,4,7,567,4.6406969586810803e-07,4.5683209685563174e-07,0.7360914868236087,COMPLETE
51,0.8475233279894767,2026-02-08 12:42:13.945096,2026-02-08 12:42:15.353751,0 days 00:00:01.408655,0.9962062968374699,0.21842060148260314,0.011581864715784288,4,7,657,1.513898276509401e-07,6.460589307629218e-07,0.7417689219199474,COMPLETE
52,0.8477635079188908,2026-02-08 12:42:15.379561,2026-02-08 12:42:17.338725,0 days 00:00:01.959164,0.9707492817052729,0.14437006061144897,0.0103124001779583,5,6,601,5.462061983105017e-07,1.1673040662905153e-06,0.6126637366074517,COMPLETE
53,0.8485815290476778,2026-02-08 12:42:17.366098,2026-02-08 12:42:18.155434,0 days 00:00:00.789336,0.9594736081863322,0.2591090900808276,0.013943140593082872,4,7,550,4.524919611674321e-08,4.016540599105437e-08,0.7143468930134806,COMPLETE
54,0.8485216308745721,2026-02-08 12:42:18.181165,2026-02-08 12:42:19.418164,0 days 00:00:01.236999,0.9496336392231304,0.25909756879554746,0.01701093935819654,3,7,549,1.845446844911875e-08,4.620960004863193e-06,0.7893064974405146,COMPLETE
55,0.8418711719488632,2026-02-08 12:42:19.444757,2026-02-08 12:42:21.016791,0 days 00:00:01.572034,0.9490979305417234,0.13149874975255216,0.021369536350584386,4,7,718,4.781017906864551e-08,4.1613123155957906e-07,0.7947866801890121,COMPLETE
56,0.8477218140925133,2026-02-08 12:42:21.045272,2026-02-08 12:42:21.828039,0 days 00:00:00.782767,0.9768226059390895,0.25867990995139334,0.01690788357132302,3,9,663,1.8885167608671947e-08,2.9853160655634922e-06,0.7820870908549492,COMPLETE
57,0.8483701237308341,2026-02-08 12:42:21.852149,2026-02-08 12:42:23.430597,0 days 00:00:01.578448,0.985285939484019,0.19105050812250918,0.013876490422797243,4,8,523,8.504044881679403e-08,1.4044736575876686e-07,0.8109304847933553,COMPLETE
58,0.8437931986211675,2026-02-08 12:42:23.457364,2026-02-08 12:42:24.318330,0 days 00:00:00.860966,0.9548937828243415,0.25164647831424297,0.025425854057017208,3,7,583,1.9318977684202553e-07,5.6168337856262445e-08,0.7655942568781935,COMPLETE
